ep_elecfromgrid_0,ep_electogrid_0,elec_unserve_0,heat_unserve_0,heat_dump_0,cool_unserve_0,turbine_y_0,turbine_y_1,turbine_y_2,turbine_y_3,turbine_xp_0,turbine_xp_1,turbine_xp_2,turbine_xp_3,boiler_y_0,boiler_y_1,boiler_y_2,boiler_y_3,boiler_y_4,boiler_x_0,boiler_x_1,boiler_x_2,boiler_x_3,boiler_x_4,chiller_x_0,chiller_x_1,chiller_x_2,chiller_x_3,chiller_x_4,chiller_x_5,chiller_x_6,chiller_x_7,chiller_x_8,chiller_yp_0,chiller_yp_1,chiller_yp_2,chiller_yp_3,chiller_yp_4,chiller_yp_5,chiller_yp_6,chiller_yp_7,chiller_yp_8,temp_0
9.891115023398122e-07,2.788237051607202e-07,1.6354346621948533e-10,1.6353962339267386e-10,6.190278360024722e-07,1.635426834311629e-10,2133.2789692873275,6281.046253878686,3983.544070712866,3949.2201461974537,734.3386195977766,2187.49997883833,1374.9999068879597,1374.9999783015674,2368.032230843974,2368.032230843974,2368.032230843974,2368.032230843974,2368.032230843974,2344.351908535534,2344.351908535534,2344.351908535534,2344.351908535534,2344.351908535534,8.215005230173723e-06,5.028156676605292e-06,5.028156676605292e-06,7.035682619453258e-06,7.035682619453258e-06,76.9338283651016,76.9338283651016,1.0145353710509546e-06,4.783152058980256e-06,1.3985367956917716e-06,1.0723303043016362e-06,1.0723303043016362e-06,1.2778210127509833e-06,1.2778210127509833e-06,7.875302320104565,7.875302320104565,6.614953227081444e-07,1.0472511387485587e-06,-0.9999829192349093
9.884361195948892e-07,2.7887769103585523e-07,1.6358461924267306e-10,1.63540384341451e-10,6.190306869704485e-07,1.6354689598604325e-10,2123.8905403029735,6281.04625286169,3983.543689289442,3949.2201451218216,731.1068406884923,2187.4999784841407,1374.9997752320364,1374.9999779270645,5394.990565432723,5394.990565432723,5394.990565432723,5394.990565432723,5394.990565432723,5341.040659778396,5341.040659778396,5341.040659778396,5341.040659778396,5341.040659778396,8.216597248200945e-06,5.029131374070635e-06,5.029131374070635e-06,7.037046225106329e-06,7.037046225106329e-06,76.93906704786983,76.93906704786983,1.0147320851062044e-06,4.784079224862365e-06,1.398807757607496e-06,1.0725381121402308e-06,1.0725381121402308e-06,1.2780686078050674e-06,1.2780686078050674e-06,7.875838575889947,7.875838575889947,6.616235367599262e-07,1.047454088377613e-06,-0.9999829275052474
9.888408418265049e-07,2.7884525082634265e-07,1.6356183021092282e-10,1.6354003172730952e-10,6.190293554114071e-07,1.6354456314046694e-10,2107.4212076019294,6281.046253498862,3983.5439532776327,3949.2201457965934,725.4376022928119,2187.499978706049,1374.9998663528404,1374.9999781619997,4002.7693447569427,4002.7693447569427,4002.7693447569427,4002.7693447569427,4002.7693447569427,3962.741651309373,3962.741651309373,3962.741651309373,3962.741651309373,3962.741651309373,8.215640736650164e-06,5.0285457550475265e-06,5.0285457550475265e-06,7.036226945604307e-06,7.036226945604307e-06,76.94430573661413,76.94430573661413,1.01461389323809e-06,4.783522152350096e-06,1.3986449558667455e-06,1.0724132539513487e-06,1.0724132539513487e-06,1.277919845025889e-06,1.277919845025889e-06,7.876374832287199,7.876374832287199,6.615464996921326e-07,1.0473321490613298e-06,-0.9999813654973431
9.875931218601111e-07,2.789466109511355e-07,1.6372741179994995e-10,1.6354035013610946e-10,6.190305640217077e-07,1.6356151280186973e-10,2138.3899350016923,6281.046251082445,3983.4783539005516,3949.220143226653,736.0979673256325,2187.4999778644838,1374.9772234158531,1374.9999772672236,5279.454553950506,5279.454553950506,5279.454553950506,5279.454553950506,5279.454553950506,5226.660008411,5226.660008411,5226.660008411,5226.660008411,5226.660008411,8.21863643036194e-06,5.030379579132717e-06,5.030379579132717e-06,7.0387927170306355e-06,7.0387927170306355e-06,76.94954441612394,76.94954441612394,1.0149838883458506e-06,4.7852666122761244e-06,1.3991546828513738e-06,1.0728040989452913e-06,1.0728040989452913e-06,1.27838558235025e-06,1.27838558235025e-06,7.876911087738783,7.876911087738783,6.617875516406844e-07,1.0477138516968774e-06,-0.9999868798577383
9.889579994621253e-07,2.788359203281375e-07,1.6355309273170677e-10,1.635399957602118e-10,6.190292204290154e-07,1.6354366862394987e-10,2184.12259835389,6281.046253663774,3983.544027282854,3949.2201459706853,751.8405220313595,2187.499978763483,1374.9998918972226,1374.9999782226132,3859.275656274451,3859.275656274451,3859.275656274451,3859.275656274451,3859.275656274451,3820.682899711707,3820.682899711707,3820.682899711707,3820.682899711707,3820.682899711707,8.215365547314447e-06,5.028377258461514e-06,5.028377258461514e-06,7.035991229662908e-06,7.035991229662908e-06,76.95478311018209,76.95478311018209,1.0145798838946116e-06,4.783361863109193e-06,1.3985981211421725e-06,1.072377332341582e-06,1.072377332341582e-06,1.2778770478960922e-06,1.2778770478960922e-06,7.877447344680293,7.877447344680293,6.615243350517388e-07,1.0472970670517463e-06,-0.9999878399384827
9.88796867757635e-07,2.788487536333985e-07,1.635655552608969e-10,1.6354025342281122e-10,6.19030192951254e-07,1.6354494429376988e-10,2207.6165511401296,6281.046253434665,3983.543909125066,3949.2201457288224,759.9278453989666,2187.499978683691,1374.999851112699,1374.999978138404,4877.721261604467,4877.721261604467,4877.721261604467,4877.721261604467,4877.721261604467,4828.944048988422,4828.944048988422,4828.944048988422,4828.944048988422,4828.944048988422,8.215744226988738e-06,5.028609085979983e-06,5.028609085979983e-06,7.03631557246216e-06,7.03631557246216e-06,76.96002179582642,76.96002179582642,1.0146266662570653e-06,4.783582388865924e-06,1.39866256815412e-06,1.0724267545864057e-06,1.0724267545864057e-06,1.277935935566545e-06,1.277935935566545e-06,7.877983600760144,7.877983600760144,6.615548237837033e-07,1.0473453336147364e-06,-0.9999877785716972
9.887648281772464e-07,2.788513067586189e-07,1.635682499012303e-10,1.6353994874263283e-10,6.190290430473154e-07,1.635452200782146e-10,2085.0434958071573,6281.046253391905,3983.543876712311,3949.2201456836774,717.7345225616975,2187.4999786687995,1374.9998399247881,1374.999978122686,3674.9607830666605,3674.9607830666605,3674.9607830666605,3674.9607830666605,3674.9607830666605,3638.2111752359933,3638.2111752359933,3638.2111752359933,3638.2111752359933,3638.2111752359933,8.215819621756153e-06,5.0286552317387454e-06,5.0286552317387454e-06,7.036380143275673e-06,7.036380143275673e-06,76.9652604821159,76.9652604821159,1.0146359760253704e-06,4.7836262911429826e-06,1.3986753993513135e-06,1.0724365920512214e-06,1.0724365920512214e-06,1.2779476588892007e-06,1.2779476588892007e-06,7.878519856906058,7.878519856906058,6.615608905595804e-07,1.0473549408515442e-06,-0.9999839806328139
9.858505693565974e-07,2.79087732634561e-07,1.6373583657283084e-10,1.635402941514889e-10,6.190303295169342e-07,1.6356237498750832e-10,2174.385566433195,6281.046247868502,3983.519095854619,3949.220139815044,748.4887435332987,2187.4999767451636,1374.9912863161385,1374.999976079404,5060.4672193027345,5060.4672193027345,5060.4672193027345,5060.4672193027345,5060.4672193027345,5009.862547109707,5009.862547109707,5009.862547109707,5009.862547109707,5009.862547109707,8.222793203640359e-06,5.032924200287506e-06,5.032924200287506e-06,7.0423529553062204e-06,7.0423529553062204e-06,76.9704991523906,76.9704991523906,1.015497413348628e-06,4.787687262490528e-06,1.3998623255349015e-06,1.0733467652058448e-06,1.0733467652058448e-06,1.2790321793909804e-06,1.2790321793909804e-06,7.879056111412288,7.879056111412288,6.621223693312731e-07,1.0482438296935743e-06,-0.9999838659100471
9.88810511978636e-07,2.788476663247112e-07,1.6356453919175804e-10,1.6354000330830629e-10,6.19029248339923e-07,1.6354484012351387e-10,2135.830932398114,6281.0462534562885,3983.543922534273,3949.2201457516544,735.2170818594026,2187.4999786912217,1374.9998557411548,1374.9999781463532,3890.678035826075,3890.678035826075,3890.678035826075,3890.678035826075,3890.678035826075,3851.7712554678137,3851.7712554678137,3851.7712554678137,3851.7712554678137,3851.7712554678137,8.215712257135099e-06,5.028589487173896e-06,5.028589487173896e-06,7.036288176564273e-06,7.036288176564273e-06,76.97573785535272,76.97573785535272,1.014622704821302e-06,4.7835637471208506e-06,1.3986571272804008e-06,1.0724225765003538e-06,1.0724225765003538e-06,1.277930961537548e-06,1.277930961537548e-06,7.8795923692652465,7.8795923692652465,6.615522418408156e-07,1.0473412527783899e-06,-0.999984043706865
9.882092275240566e-07,2.7889934852865344e-07,1.6389130609540045e-10,1.6354053914945891e-10,6.190313106584555e-07,1.635782894555805e-10,2162.0894506865156,6281.046251293098,3983.4950318957904,3949.2201434317385,744.2560516098191,2187.4999779378477,1374.9829801594697,1374.9999773386282,6043.05097059401,6043.05097059401,6043.05097059401,6043.05097059401,6043.05097059401,5982.620460888069,5982.620460888069,5982.620460888069,5982.620460888069,5982.620460888069,8.21725457733436e-06,5.02953369925452e-06,5.02953369925452e-06,7.037609193112978e-06,7.037609193112978e-06,76.98097653823646,76.98097653823646,1.0148131112321923e-06,4.784461917939134e-06,1.398919171713396e-06,1.0726234594213284e-06,1.0726234594213284e-06,1.2781703758766294e-06,1.2781703758766294e-06,7.880128625061871,7.880128625061871,6.616760123264886e-07,1.0475374318323957e-06,-0.9999599551883034
